"Date","Time","Sky Condition (label)","Sky Condition","Precip Type (label)","Precip Type","Precip Rate (label)","Precip Rate","Grain Form (label)","Grain Form","Grain Size (mm)","HN24","H24W in Tube (weight of tube sample)","H Tube Sample (height of snow in tube)","H24W Can","Density p (kg/m3)","Density (%)","HST","HS","Settlement/Melt","Temp Surface","Temp 10cm","Temp 20cm","Temp Current","Temp Max","Temp Min","Wind Direction","Wind Speed (label)","Wind Speed","Observers Name","Comments","User ID","Timestamp","Last Updated","Created By","Updated By","Draft","IP","ID","Key"
"2019-02-03","05:25","Clear","CLR","","","","","","","","T","","","","","0.0","","122","2","-2.0","0.0","2.0","-13.9","-11.1","-18.9","","Light","L","Kevin","Trace of snow overnight was wind blown","","2019-02-03 05:29:05","2019-02-03 05:29:05","fongemie","","0","174.192.1.112","4502","xnfdj"
"2019-02-04","05:59","Obscured","X","","","","","","","","2","8.0","2.0","","80","40.0","2","119","3","22.0","18.0","12.0","1.7","-0.6","-15.0","","Moderate","M","Kevin","Overnight snow turned into sleet/rain. Trace of sleet/rain accumulation.","","2019-02-04 06:03:15","2019-02-04 06:03:15","fongemie","","0","174.192.15.8","4503","sbv06"
"2019-02-05","05:43","Overcast","OVC","Rain","RA","Light rain","RL","","","","","","","","","0.0","","115","4","24.0","20.0","18.0","1.7","3.9","0.6","","Light","L","Kevin","","","2019-02-05 05:46:23","2019-02-05 05:46:23","fongemie","","0","174.192.25.253","4504","xu5bx"
"2019-02-06","05:45","Clear","CLR","No precipitation","NO","","","","","","0","","","","","","","112","3","-12.0","-10.0","-8.0","-5.0","3.9","-7.8","","Calm","C","Megan","Thick crust of ice on the surface of the snow after yesterday's warm temperatures","","2019-02-06 05:54:10","2019-02-06 05:54:10","fongemie","","0","174.192.36.90","4505","8r5g6"
"2019-02-07","05:47","Obscured","X","Rain","RA","Light rain","RL","","","","0","","","","","","","112","0","0.0","-2.0","-6.0","0.0","0.0","-2.2","","Light","L","Megan","Trace new ice coating the snow plot, surface of snow is heavily crusted with ice","","2019-02-07 05:52:54","2019-02-07 05:52:54","fongemie","","0","174.192.31.102","4506","9gxf8"
"2019-02-17","05:45","Clear","CLR","","","","","","","","3","1.5","","","15","","3","127","","-18.0","-14.0","-11.0","-16.3","-8.0","-16.0","NW","Light","L","Peter Howe","","","2019-02-17 06:07:23","2019-02-17 06:07:23","fongemie","","0","174.192.16.109","4507","h5h47"
"2019-02-18","05:45","Overcast","OVC","Snow","SN","Very light snowfall","S-1","Stellars and dendrites","sd","4","T","","","","","0.0","NC","125","2","-11.0","-10.0","-8.0","-11.0","-9.5","-13.0","","Calm","C","Peter Howe","","","2019-02-18 06:09:26","2019-02-18 06:09:26","fongemie","","0","174.192.26.72","4508","92i50"
"2019-02-19","05:45","Clear","CLR","","","","","","","","8","3.5","8.0","","44","","14","55","","-24.0","-19.0","-13.0","-20.0","-7.0","-21.0","NW","Moderate","M","Peter Howe","","","2019-02-19 06:12:52","2019-02-19 06:12:52","fongemie","","0","174.192.26.196","4509","45r7u"
"2019-02-20","06:00","Clear","CLR","","","","","","","","0","","","","","0.0","0","137","3","-21.0","-18.0","-13.0","-18.0","-16.0","-21.0","NW","Calm","C","Peter Howe","","","2019-02-20 06:19:09","2019-02-20 06:19:09","fongemie","","0","174.192.0.41","4510","zi5cd"
"2019-02-21","06:00","Overcast","OVC","Snow","SN","Very light snowfall","S-1","Stellars and dendrites","sd","1.0","4","11.0","4.0","","275","","7","132","5","-4.0","-7.0","-8.0","-3.0","-3.0","-20.0","W","Moderate","M","Peter Howe","Trace rimed stellars/dendrites coming down amidst lots of windblown snow- almost all of hn24 and hst is drifted, with just trace actual precip.","","2019-02-21 06:28:28","2019-02-21 06:28:28","fongemie","","0","174.192.23.7","4511","zohva"
"2019-02-22","05:50","Overcast","OVC","Snow","SN","Very light snowfall","S-1","Stellars and dendrites","sd","1.5","2","","","","","0.0","10","137","","-10.0","-10.0","-8.0","-10.0","-3.0","-10.0","","Light","L","Merike","Pretty windy yesterday, so some drifting across the plot, but pretty evenly distributed within it.","","2019-02-22 06:03:05","2019-02-22 06:03:05","fongemie","","0","174.192.20.203","4512","gjowu"
"2019-02-23","05:35","","","","","","","","","","T","","","","","0.0","T","137","","-14.0","-12.0","-10.0","-11.0","-7.0","-12.0","","Calm","C","Merike","","","2019-02-23 05:43:36","2019-02-23 05:43:36","fongemie","","0","174.192.3.215","4513","ylidg"
"2019-02-24","05:45","Overcast","OVC","Snow","SN","Moderate snowfall","S2","Needles, Irregular crystals","nd, ir","2","T","","","","","0.0","T","135","2","-6.0","-8.0","-8.0","-6.0","-5.0","-10.0","","Calm","C","Merike","","","2019-02-24 05:55:53","2019-02-24 05:55:53","fongemie","","0","174.192.15.64","4514","fag1v"
"2019-02-25","06:00","Overcast","OVC","Snow","SN","Light snowfall","S1","Irregular crystals","ir","1","13","17.0","13.0","","99.24","13.1","13","142","","-12.0","-8.0","-8.0","-9.0","0.0","-9.0","","Extreme","E","Merike","Very wind-blown snowplot. Yesterday's couple inches of sleety snow blew clear of the snow plates, but the overnight snow has drifted onto them.","","2019-02-25 06:14:44","2019-02-25 06:14:44","fongemie","","0","174.192.39.53","4515","8rl99"
"2019-02-26","05:50","Scattered","SCT","","","","","","","","8","6.0","8.0","","","7.5","8","150","","-25.0","-21.0","-16.0","-22.0","-9.0","-22.0","","Extreme","E","Merike","Lots of snow drifting about; plot is likely pretty wind-affected.","","2019-02-26 05:59:26","2019-02-26 05:59:26","fongemie","","0","174.192.23.171","4516","49h9o"
"2019-02-27","05:50","Clear","CLR","","","","","","","","","","","","","0.0","","150","","-30.0","-26.0","-18.0","-28.0","-19.0","-28.0","","Moderate","M","Merike","","","2019-02-27 05:55:05","2019-02-27 05:55:05","fongemie","","0","174.192.44.221","4517","kx47n"
"2019-02-28","05:50","Few","FEW","Snow","SN","Light snowfall","S1","Stellars and dendrites, Irregular crystals","sd, ir","1","2","","","","","0.0","2","150","","-16.0","-17.0","-15.0","-17.0","-16.0","-28.0","","Calm","C","Merike","Snow stake settled a couple of cm yesterday, but last night's dusting brought it back up to the level it was at yesterday morning.","","2019-02-28 05:56:49","2019-02-28 05:56:49","fongemie","","0","174.192.14.234","4518","moz6m"
"2019-03-01","05:55","Few","FEW","","","","","","","","0","","","","0","0.0","2","150","","-19.0","-18.0","-13.0","-15.0","-13.0","-17.0","NW","Calm","C","Peter Howe","","","2019-03-01 06:20:47","2019-03-01 06:20:47","fongemie","","0","174.192.44.201","4519","r5cg9"
"2019-03-02","06:00","Overcast","OVC","","","","","","","","0","","","","","0.0","","147","3","-16.0","-16.0","-14.0","-11.0","-8.0","-15.0","W","Calm","C","Peter Howe","","","2019-03-02 06:16:48","2019-03-02 06:16:48","fongemie","","0","174.192.17.159","4520","pkhi1"
"2019-03-03","05:55","Overcast","OVC","Snow","SN","Light snowfall","S1","Stellars and dendrites","sd","4","3","1.0","3.5","","29","","3","150","","-12.0","-11.0","-10.0","-10.0","-4.0","-11.0","NW","Light","L","Peter Howe","","","2019-03-03 06:11:20","2019-03-03 06:11:20","fongemie","","0","174.192.3.217","4521","2d9xd"
"2019-03-04","05:35","Overcast","OVC","Snow","SN","Very light snowfall","S-1","Stellars and dendrites","sd","3","6","5.5","6.0","","92","","6","155","","-8.0","-9.0","-9.0","-8.0","-7.0","-11.0","","Calm","C","Peter Howe","","","2019-03-04 05:56:24","2019-03-04 05:56:24","fongemie","","0","174.192.13.250","4522","2oxle"
"2019-03-05","05:55","Scattered, Overcast","SCT, OVC","","","","","","","","8","3.0","8.0","","38","","11","163","","-21.0","-15.0","-10.0","-20.0","-7.0","-21.0","","Calm","C","Peter Howe","","","2019-03-05 06:12:36","2019-03-05 06:12:36","fongemie","","0","174.192.23.168","4523","6a0lj"
"2019-03-06","05:55","Overcast","OVC","Snow","SN","Very light snowfall","S-1","Stellars and dendrites","sd",".5","T","","","","","0.0","","160","3","-19.0","-13.0","-11.0","-19.0","-15.0","-21.0","","Light","L","Peter Howe","","","2019-03-06 06:11:41","2019-03-06 06:11:41","fongemie","","0","174.192.32.48","4524","mzz4i"
"2019-03-07","05:55","Overcast","OVC","","","","","","","","","","","","","0.0","","157","3","-23.0","-17.0","-13.0","-23.0","-18.0","-23.0","","Calm","C","Peter Howe","","","2019-03-07 06:12:26","2019-03-07 06:12:26","fongemie","","0","174.192.13.89","4525","bmaq6"
"2019-03-08","05:45","Few","FEW","","","","","","","","","","","","","0.0","","155","2","-20.0","-18.0","-14.0","-20.0","-16.0","","","","","","","","2019-03-08 05:55:05","2019-03-08 05:55:05","fongemie","","0","174.192.20.141","4526","ukvdd"
"2019-03-17","05:30","Overcast","OVC","Snow","SN","Very light snowfall","S-1","Stellars and dendrites","sd","1","6","4.0","6.0","","66","66","13","137","0","-10.0","-9.0","-8.0","-14.0","-11.0","-14.0","N","Moderate","M","Justin","Windy down @ plot, blowing loose snow across hardpack. First time taking snow tube sample today.","","2019-03-17 06:10:10","2019-03-17 06:10:10","fongemie","","0","174.192.9.31","4527","6gmp5"
"2019-03-18","05:30","Overcast","OVC","","","","","","","","T","0.0","0.0","0.0","0.0","0.0","T","137","0","-10.0","-9.0","-4.0","-14.5","-14.0","-14.5","NW","Light","L","Justin","","","2019-03-18 05:45:38","2019-03-18 05:45:38","fongemie","","0","174.192.1.210","4528","6fru6"
"2019-03-19","05:30","Few","FEW","No precipitation","NO","","","","","","0","0.0","0.0","0.0","0","0.0","0","135","2","-11.0","-10.0","-9.0","-14.5","-13.0","-14.5","W","Calm","C","Justin","","","2019-03-19 05:42:56","2019-03-19 05:42:56","fongemie","","0","174.192.16.6","4529","46n6o"
"2019-03-20","05:25","Clear","CLR","No precipitation","NO","","","","","","0","0.0","0.0","0.0","0","0","0","135","0","-12.0","-10.0","-8.5","-11.5","-11.5","-12.0","W","Calm","C","Justin","","","2019-03-20 05:33:31","2019-03-20 05:33:31","fongemie","","0","174.192.5.191","4530","bx11j"
"2019-03-21","05:30","Overcast","OVC","No precipitation","NO","","","","","","0","0.0","0.0","0.0","0","0.0","0","132","3","-8.5","-9.0","-8.5","-2.8","-3.3","-2.8","NW","Calm","C","Justin","","","2019-03-21 05:32:27","2019-03-21 05:32:27","fongemie","","0","174.192.6.174","4531","qj7pb"
"2019-03-22","06:10","Overcast","OVC","Snow","SN","Very light snowfall","S-1","Plates","pl","1","T","","","","","","","132","","-6.0","-4.0","-4.0","-3.8","2.8","-3.3","","Moderate","M","Kevin","","","2019-03-22 06:14:48","2019-03-22 06:14:48","fongemie","","0","97.34.206.106","4532","lwual"
"2019-03-23","06:06","Overcast","OVC","Snow","SN","Light snowfall","S1","Colums","cl","2","47","64.0","","","99","","","183","","-6.0","-7.0","-7.0","-5.6","1.7","-5.0","","Calm","C","Kevin","Got more snow than the hight if tube, pushed tube down to plate to capture alk of snow. Hight gusty winds yesterday","","2019-03-23 06:12:33","2019-03-23 06:12:33","fongemie","","0","97.34.194.158","4533","39vo9"
"2019-03-24","06:12","Clear","CLR","No precipitation","NO","","","","","","6","6.0","","","99","","44","186","","-12.0","-12.0","-10.0","-11.2","5.0","-12.8","","Calm","C","Kevin","","","2019-03-24 06:15:39","2019-03-24 06:15:39","fongemie","","0","174.192.3.202","4534","qnxaj"
"2019-03-25","05:59","Scattered","SCT","","","","","","","","6","5.0","","","99","","6","186","3","-2.0","-10.0","-8.0","-11.7","-0.6","-11.7","","Calm","C","Kevin","Settlement from.sunshine and warmer temos yesterday, light snow overnight","","2019-03-25 06:03:41","2019-03-25 06:03:41","fongemie","","0","174.192.20.195","4535","vnn38"
"2019-03-26","05:57","Clear","CLR","No precipitation","NO","","","","","","","","","","","0.0","","183","3","-18.0","-15.0","-12.0","-15.0","-5.5","-14.5","","Calm","C","Kevin","","","2019-03-26 05:59:31","2019-03-26 05:59:31","fongemie","","0","174.192.24.102","4536","fyev2"
"2019-03-27","06:09","Clear","CLR","","","","","","","","","","","","","0.0","","180","3","-19.0","-18.0","-15.0","-12.8","-7.3","-15.6","","Calm","C","Kevin","","","2019-03-27 06:11:33","2019-03-27 06:11:33","fongemie","","0","97.46.66.148","4537","lcaqd"
"2019-03-28","05:26","Clear","CLR","No precipitation","NO","","","","","","","","","","","0.0","","178","2","-10.0","-10.0","-10.0","-4.5","-1.0","-12.8","","Light","L","Kevin","","","2019-03-28 05:28:02","2019-03-28 05:28:02","fongemie","","0","174.192.15.222","4538","izq6d"
"2019-03-09","05:45","","","","","","","","","","","","","","","0.0","","152","3","-18.0","-13.0","-12.0","-14.0","-9.0","-19.0","","Light","L","Merike","","","2019-03-09 05:55:10","2019-03-09 05:55:10","fongemie","","0","174.192.14.104","4539","7krar"
"2019-03-10","05:45","Overcast","OVC","","","","","","","","","","","","","0.0","","152","","-14.0","-12.0","-12.0","-9.0","-7.0","-11.0","","Moderate","M","Merike","","","2019-03-10 05:51:41","2019-03-10 05:51:41","fongemie","","0","174.192.17.7","4540","3o4ao"
"2019-03-11","05:45","Overcast","OVC","","","","","","","","T","","","","","0.0","T","137","15","-6.0","-6.0","-7.0","-4.5","-2.0","-9.0","","Moderate","M","Merike","VERY strong south wind yesterday---blew any loose snow away from the plot. Seems that very little new snow actually fell.","","2019-03-11 05:58:05","2019-03-11 05:58:05","fongemie","","0","174.192.8.54","4541","sinae"
"2019-03-12","05:45","Overcast","OVC","Snow","SN","Light snowfall","S1","Stellars and dendrites","sd","3","1","","","","","0.0","1","147","","-12.0","-10.0","-9.0","-11.0","-2.0","-11.0","","Moderate","M","Merike","Plot is very wind affected. Plates picked up only 1-2cm of new snow but the stake is 10cm up. Overnight snow especially was very fluffy and is blowing easily.","","2019-03-12 05:58:20","2019-03-12 05:58:20","fongemie","","0","174.192.42.54","4542","u6hc7"
"2019-03-13","05:55","Broken","BKN","","","","","","","","5","2.0","5.0","","40","4.0","6","152","","-12.0","-11.0","-8.0","-11.0","-10.0","-12.0","","Calm","C","Peter Howe","","","2019-03-13 06:14:12","2019-03-13 06:14:12","fongemie","","0","174.192.3.184","4543","yjwyf"
"2019-03-14","05:40","Clear","CLR","","","","","","","","2","2.0","2.0","","100","10.0","2","152","","-4.0","-7.0","-7.0","-4.0","-2.0","-11.0","","Calm","C","Peter Howe","","","2019-03-14 05:45:50","2019-03-14 05:45:50","fongemie","","0","174.192.19.11","4544","48jle"
"2019-03-15","05:50","Overcast","OVC","","","","","","","","","","","","","0.0","","","","-0.2","-0.5","-1.0","7.2","7.2","3.8","NW","Strong","S","Justin","","","2019-03-15 06:33:21","2019-03-15 06:33:21","fongemie","","0","174.192.14.186","4545","2ph9r"
"2019-03-16","05:30","Overcast","OVC","No precipitation","NO","","","","","","","","","","","0.0","T","124","11","-1.0","0.0","-1.0","-2.0","1.0","-2.0","W","Light","L","Justin","Yesterdays data 3/15 should read as follows..
HS 135
SETTLEMENT 17","","2019-03-16 06:00:57","2019-03-16 06:00:57","fongemie","","0","174.192.13.182","4546","fgsbr"
"2019-03-29","05:30","Overcast","OVC","","","","","","","","T","0.0","0.0","0.0","0.0","0.0","T","175","2","-1.0","-1.0","-2.0","1.0","4.5","-5.0","NW","Calm","C","Justin","","","2019-03-29 05:35:29","2019-03-29 05:35:29","fongemie","","0","174.192.18.189","4547","d30rs"
"2019-03-30","05:15","Clear","CLR","","","","","","","0","0","0.0","0.0","0.0","0.0","0.0","0","175","0","-2.0","-2.0","-1.0","-0.5","4.0","-0.5","W","Calm","C","Justin","","","2019-03-30 05:20:52","2019-03-30 05:20:52","fongemie","","0","174.192.4.163","4548","ns4au"
"2019-03-31","05:15","Overcast","OVC","","","","","","","","0","0.0","0.0","0.0","0","0.0","0","160","15","-1.0","-1.0","-1.0","6.5","8.0","-2.0","W","Strong","S","Justin","","","2019-03-31 05:22:21","2019-03-31 05:22:21","fongemie","","0","174.192.1.167","4549","y3c2y"
"2019-04-01","05:30","Overcast","OVC","Snow","SN","Light snowfall, Moderate snowfall","S1, S2","Stellars and dendrites","sd","2","8","12.0","8.0","0.0","66","15.0","8","147","13","-1.0","-1.0","-1.0","-9.5","8.0","-9.5","NW","Calm","C","Justin","","","2019-04-01 06:02:17","2019-04-01 06:02:17","fongemie","","0","174.192.13.49","4550","wqr5s"
"2019-04-02","05:15","Clear","CLR","No precipitation","NO","","","","","","0","0.0","0.0","0.0","0","0.0","0","150","0","-9.0","-7.0","-1.0","-11.5","-6.5","-11.5","W","Calm","C","Justin","","","2019-04-02 05:22:59","2019-04-02 05:22:59","fongemie","","0","174.192.1.177","4551","2z4c1"
"2019-04-03","05:15","Overcast","OVC","Snow","SN","Very light snowfall","S-1","Stellars and dendrites","sd","1","T","0.0","0.0","0.0","0","0.0","T","147","0","-1.0","-2.0","-2.0","-4.5","0.0","-11.5","W","Calm","C","Justin","","","2019-04-03 05:20:07","2019-04-03 05:20:07","fongemie","","0","174.192.39.32","4552","ndsf6"
"2019-04-04","05:10","Broken","BKN","No precipitation","NO","","","","","","T","0.0","0.0","0.0","0","0.0","T","147","0","-10.0","-9.0","-2.0","-11.0","3.0","-5.0","NW","Strong","S","Justin","","","2019-04-04 05:17:03","2019-04-04 05:17:03","fongemie","","0","174.192.11.232","4553","2vald"
"2019-04-05","05:52","Clear","CLR","","","","","","","","","","","","","0.0","","147","","-18.0","-12.0","-10.0","-13.4","-5.4","-11.7","","Calm","C","Kevin","","","2019-04-05 05:54:34","2019-04-05 05:54:34","fongemie","","0","174.192.31.21","4554","5ec27"
"2019-04-06","06:18","Overcast","OVC","Snow","SN","Light snowfall","S1","Stellars and dendrites","sd","2","","7.0","4.0","","99","17","","150","","-2.0","-4.0","-4.0","-0.6","2.8","-14.0","","Light","L","Kevin","","","2019-04-06 06:21:49","2019-04-06 06:21:49","fongemie","","0","174.192.13.91","4555","ioukj"
"2019-04-07","06:01","Obscured","X","","","","","","","","","","","","","0.0","4","150","","-3.0","-4.0","-5.0","-0.6","0.6","-1.7","","Calm","C","Kevin","","","2019-04-07 06:03:23","2019-04-07 06:03:23","fongemie","","0","174.192.0.83","4556","z6y5u"
"2019-04-08","05:56","Overcast","OVC","Rain","RA","Very light rain","RV","","","","","","","","","0.0","","148","2","-2.0","-2.0","-2.0","2.2","2.8","-3.3","","Calm","C","Kevin","","","2019-04-08 05:58:00","2019-04-08 05:58:00","fongemie","","0","174.192.23.216","4557","tsjxz"
"2019-04-09","05:58","Overcast","OVC","No precipitation","NO","","","","","","T","","","","","0.0","","145","3","-3.0","-2.0","-2.0","-2.2","2.8","-1.1","","Calm","C","Kevin","Trace of snow and 1.5 cm of rain in the last 24 hrs. Ice crust on top of snow has formed","","2019-04-09 06:02:39","2019-04-09 06:02:39","fongemie","","0","174.192.27.248","4558","awd0h"
"2019-04-10","06:22","Overcast","OVC","","","","","","","","9","13.0","9.0","","","14","9","152","","-7.0","-2.0","-2.0","-7.3","4.5","-7.3","","Calm","C","Kevin","","","2019-04-10 06:23:34","2019-04-10 06:23:34","fongemie","","0","174.192.46.196","4559","869kk"
"2019-04-11","05:11","Scattered","SCT","","","","","","","","3","4.0","3.0","","","13","3","155","","-10.0","-6.0","-4.0","-10.0","-3.3","-10.0","","Calm","C","Kevin","","","2019-04-11 05:13:05","2019-04-11 05:13:05","fongemie","","0","174.192.22.156","4560","1e7tc"
"2019-04-12","05:15","Broken","BKN","No precipitation","NO","","","","","","0","0.0","0.0","0.0","0","0.0","0","152","3","-4.0","-4.0","-2.0","-3.0","-1.7","-10.5","NW","Calm","C","Justin","","","2019-04-12 05:22:13","2019-04-12 05:22:13","fongemie","","0","174.192.29.13","4561","jq3l7"
"2019-04-13","05:15","Overcast","OVC","No precipitation","NO","","","","","","0","0.0","0.0","0.0","0","0.0","0","137","15","-1.0","0.0","-2.0","7.8","7.8","-3.9","W","Light","L","Justin","","","2019-04-13 05:23:00","2019-04-13 05:23:00","fongemie","","0","174.192.3.56","4562","tw6p"
"2019-04-14","05:15","Clear","CLR","No precipitation","NO","","","","","","0","0.0","0.0","0.0","0","0.0","0","129","8","-2.0","-2.0","-2.0","0.0","10.5","0.0","W","Calm","C","Justin","","","2019-04-14 05:22:43","2019-04-14 05:22:43","fongemie","","0","174.192.23.216","4563","xveff"
"2019-04-15","05:15","Overcast","OVC","Rain","RA","","","","","","0","0.0","0.0","0.0","","0.0","0","119","10","0.0","0.0","-1.0","10.0","10.0","0.0","W","Moderate","M","Justin","","","2019-04-15 05:21:46","2019-04-15 05:21:46","fongemie","","0","174.192.4.32","4564","gagzp"
"2019-04-16","05:15","Overcast","OVC","Snow","SN","Light snowfall","S1","Stellars and dendrites","sd","3","2","2.0","2.0","0.0","1","10.0","2","122","7","-4.0","-2.0","-2.0","-6.0","10.0","-6.0","W","Light","L","Justin","","","2019-04-16 05:23:15","2019-04-16 05:23:15","fongemie","","0","174.192.15.209","4565","vlgyq"
"2019-04-17","05:15","Clear","CLR","No precipitation","NO","","","","","","T","0.0","0.0","0.0","0","0.0","T","124","0","-5.0","-5.0","-4.0","-4.5","-5,5","-6.0","W","Calm","C","Justin","","","2019-04-17 05:20:34","2019-04-17 05:20:34","fongemie","","0","174.192.8.184","4566","zkeo"
"2019-04-17","05:15","Clear","CLR","No precipitation","NO","","","","","","T","0.0","0.0","0.0","0","0.0","T","124","0","-5.0","-5.0","-4.0","-4.5","-5,5","-6.0","W","Calm","C","Justin","","","2019-04-17 05:20:34","2019-04-17 05:20:34","fongemie","","0","174.192.8.184","4567","5qtnk"
"2019-04-18","05:15","Few","FEW","No precipitation","NO","","","","","","0","0.0","0.0","0.0","0","0.0","0","124","0","-4.0","-6.0","-4.0","-0.5","2.0","-5.5","W","Calm","C","Justin","","","2019-04-18 05:19:33","2019-04-18 05:19:33","fongemie","","0","174.192.5.159","4568","bi9ma"
"2019-04-19","06:01","Broken","BKN","","","","","","","","0","","","","","0.0","0","112","12","-2.0","-2.0","-2.0","9.5","7.2","-2.2","","Moderate","M","Kevin","","","2019-04-19 06:03:02","2019-04-19 06:03:02","fongemie","","0","174.192.12.61","4569","kfq2q"
"2019-04-20","05:54","Overcast","OVC","Rain","RA","Very light rain","RV","","","","","","","","","0.0","","94","18","-2.0","-2.0","-2.0","11.1","12.8","7.2","","Light","L","Kevin","Received 4mm of rain in the past 24hrs","","2019-04-20 05:56:56","2019-04-20 05:56:56","fongemie","","0","174.192.26.63","4570","egq8w"
"2019-04-21","05:49","Overcast","OVC","","","","","","","","","","","","","0.0","","71","23","-2.0","-2.0","-2.0","7.3","12.2","7.3","","Light","L","Kevin","9mm of rain in the past 24hr","","2019-04-21 05:51:32","2019-04-21 05:51:32","fongemie","","0","174.192.20.76","4571","ky3d8"
"2019-04-22","05:53","Broken","BKN","","","","","","","","","","","","","0.0","","61","10","-2.0","-2.0","-2.0","6.7","11.7","6.7","","Calm","C","Kevin","","","2019-04-22 05:54:21","2019-04-22 05:54:21","fongemie","","0","174.192.46.210","4572","s976g"
"2019-04-23","05:52","Overcast","OVC","Rain","RA","Light rain","RL","","","","","","","","","0.0","","56","5","-2.0","-2.0","-2.0","3.9","11.7","3.9","","Moderate","M","Kevin","9mm of rain over night","","2019-04-23 05:54:14","2019-04-23 05:54:14","fongemie","","0","174.192.28.214","4573","uo5q5"
"2019-04-24","05:52","Overcast","OVC","","","","","","","","","","","","","0.0","","46","10","-6.0","-6.0","-6.0","5.6","8.3","5.6","","Light","L","Kevin","Trace of rain in yhe last 24hr","","2019-04-24 05:54:28","2019-04-24 05:54:28","fongemie","","0","174.192.20.146","4574","r3v1y"
"2019-04-25","05:24","Overcast","OVC","","","","","","","","3","7.0","3.5","","","20.0","3","46","","-2.0","-2.0","-2.0","-1.0","7.2","-1.0","","Calm","C","Kevin","","","2019-04-25 05:26:49","2019-04-25 05:26:49","fongemie","","0","174.192.16.214","4575","khxnw"
"2019-04-26","05:15","Broken","BKN","","","","","","","","0","0.0","0.0","0.0","0","0.0","0","35","11","-2.0","-2.0","-2.0","4.5","2.7","-1.7","W","Calm","C","Justin","","","2019-04-26 05:19:45","2019-04-26 05:19:45","fongemie","","0","174.192.14.81","4576","z8gp"
"2019-04-27","05:15","Overcast","OVC","Rain","RA","","","","","","0","0.0","0.0","0.0","00","0.0","0","30","5","-2.0","-2.0","-2.0","5.0","6.0","1.0","N","Light","L","Justin","","","2019-04-27 05:25:42","2019-04-27 05:25:42","fongemie","","0","174.192.11.65","4577","y80xy"
"2019-04-28","05:15","Overcast","OVC","No precipitation","NO","","","","","0","11","19.0","11.0","0.0","0","17","11","48","0","-5.0","-2.0","-2.0","-5.0","6.0","-5.5","NE","Light","L","Justin","Received 1.1"" rainfall yesterday before transitioning to snow","","2019-04-28 05:27:40","2019-04-28 05:27:40","fongemie","","0","166.216.158.94","4578","ooz4m"
"2019-04-29","05:05","Overcast","OVC","","","","","","","0","0","0.0","0.0","0.0","0","0.0","0","45","3","-8.0","-2.0","-2.0","-6.0","1.0","-6.0","N","Calm","C","Justin","","","2019-04-29 05:17:54","2019-04-29 05:17:54","fongemie","","0","174.192.5.237","4579","rxhqd"
"2019-04-30","05:00","Overcast","OVC","","","","","","","0","0","0.0","0.0","0.0","0","0.0","0","45","0","-2.0","-3.0","-3.0","-2.0","0.0","-6.0","W","Calm","C","Justin","","","2019-04-30 05:08:21","2019-04-30 05:08:21","fongemie","","0","174.192.13.121","4580","8uu6x"
"2019-05-01","05:15","Few","FEW","No precipitation","NO","","","","","0","2","3.0","2.0","0.0","0","15.0","2","48","0","-5.0","-4.0","-3.0","-4.0","0.5","-4.0","N","Calm","C","Justin","","","2019-05-01 05:21:12","2019-05-01 05:21:12","fongemie","","0","174.192.15.109","4581","dkjhv"
"2019-05-02","05:05","Overcast","OVC","Rain","RA","Light rain","RL","","","0","0","0.0","0.0","0.0","0","0.0","0","45","3","-2.0","-2.0","-2.0","4.0","4.5","-4.0","N","Light","L","Justin","","","2019-05-02 05:15:51","2019-05-02 05:15:51","fongemie","","0","174.192.30.14","4582","nchdc"
"2019-05-03","05:49","Overcast","OVC","","","","","","","","","","","","","0.0","","41","4","-2.0","-2.0","-2.0","4.5","6.1","1.7","","Calm","C","Kevin","","","2019-05-03 05:50:24","2019-05-03 05:50:24","fongemie","","0","174.192.21.198","4583","di3bq"
"2019-05-04","05:37","Overcast","OVC","Rain","RA","Very light rain","RV","","","","","","","","","0.0","","33","8","-6.0","-6.0","-6.0","6.7","11.1","1.7","","Calm","C","Kevin","","","2019-05-04 05:38:49","2019-05-04 05:38:49","fongemie","","0","174.192.12.208","4584","2nsdr"
"2019-05-05","05:19","Scattered","SCT","","","","","","","","","","","","","0.0","","30","3","-6.0","-6.0","-6.0","2.8","9.5","1.7","","Calm","C","Kevin","","","2019-05-05 05:21:44","2019-05-05 05:21:44","fongemie","","0","174.192.7.129","4585","olsav"
"2019-05-06","05:25","Few","FEW","","","","","","","","","","","","","0.0","","25","5","-4.0","-2.0","-2.0","2.8","10.6","2.8","","Calm","C","Kevin","","","2019-05-06 05:26:55","2019-05-06 05:26:55","fongemie","","0","174.192.17.96","4586","anc8o"
"2019-05-08","06:48","Scattered","SCT","","","","","","","","","","","","","0.0","","15","5","-3.0","-2.0","-2.0","-1.1","10.6","-1.1","","Calm","C","Kevin","","","2019-05-08 21:00:35","2019-05-08 21:00:35","fongemie","","0","174.192.5.5","4587","eo6qf"
"2019-05-09","05:14","Clear","CLR","","","","","","","","","","","","","0.0","","15","0","-8.0","-6.0","-2.0","-2.2","3.9","-2.0","","Calm","C","Kevin","","","2019-05-09 05:15:49","2019-05-09 05:15:49","fongemie","","0","174.192.19.152","4588","y3ybq"
