"Date","Time","Sky Condition (label)","Sky Condition","Precip Type (label)","Precip Type","Precip Rate (label)","Precip Rate","Grain Form (label)","Grain Form","Grain Size (mm)","HN24","H24W in Tube (weight of tube sample)","H Tube Sample (height of snow in tube)","H24W Can","Density p (kg/m3)","Density (%)","HST","HS","Settlement/Melt","Temp Surface","Temp 10cm","Temp 20cm","Temp Current","Temp Max","Temp Min","Wind Direction","Wind Speed (label)","Wind Speed","Observers Name","Comments","User ID","Timestamp","Last Updated","Created By","Updated By","Entry Status","IP","ID","Key"
"2023-02-11","05:40","Obscured","X","Snow","SN","Moderate snowfall","S2","Stellars and dendrites, Irregular crystals","sd, ir","1-3","3","2.5","2.8","","89","9","NC","88","","-9.0","-4.5","-4.5","-10.0","5.0","-10.0","NW","Strong","S","Eli Hanschka","Snow grains were heavily rimed.","","2023-02-11 06:00:08","2023-02-11 06:00:08","","","0","107.77.223.64","175","jdmph"
"2023-03-12","04:32","Few","FEW","No precipitation","NO","","","","","","0","","","","","","0","144","2","-9.5","-8.5","-7.0","-11.0","0.0","-11.0","NE","Calm","C","Eli Hanschka","","","2023-03-12 04:45:40","2023-03-12 04:45:40","","","0","107.77.224.228","259","5wvoo"
"2023-03-21","05:52","Clear","CLR","No precipitation","NO","","","","","","0","","","","","","0","167","1","-9.0","-8.0","-7.0","-6.0","-3.0","-6.0","W","Moderate","M","Eli Hanschka","","","2023-03-21 05:58:57","2023-03-21 05:58:57","","","0","107.77.226.32","281","iz8p"
"2023-03-20","15:54","Clear","CLR","No precipitation","NO","","","","","","2","1.5","1.6","","94","9","7","168","7","-7.0","-6.5","-6.5","-3.5","-1.0","-15.5","W","Moderate","M","Eli Hanschka","","","2023-03-20 16:06:33","2023-03-20 16:06:33","","","0","107.77.226.32","280","njy0"
"2023-03-19","05:44","Obscured","X","Snow","SN","Light snowfall","S1","Stellars and dendrites, Irregular crystals","sd, ir","1-2","11","5.0","11.2","","44","4","NC","175","","-12.5","-8.5","-8.5","-13.0","8.5","-13.0","W","Moderate","M","Eli Hanschka","Max temp likely affected by sun warming","","2023-03-19 06:10:58","2023-03-19 06:10:58","","","0","107.77.223.26","277","22zrt"
"2023-03-18","05:48","Overcast","OVC","Snow","SN","Light snowfall","S1","Colums, Irregular crystals","cl, ir","1","T","","","","","","NC","169","4","0.0","-1.5","-2.5","-1.5","0.5","-3.0","W","Moderate","M","Eli Hanschka","","","2023-03-18 06:05:16","2023-03-18 06:05:16","","","0","107.77.223.26","274","nf0qo"
"2023-03-17","06:43","Scattered","SCT","","","","","","","","","1.0","0.4","","25","3","","173","","-3.5","-4.5","-3.5","-2.5","0.0","-8.5","S","Light","L","Aubrey Schoff","","","2023-03-17 06:45:57","2023-03-17 06:45:57","","","0","166.198.21.67","272","2q6ds"
"2023-03-16","05:46","Broken","BKN","No precipitation","NO","","","","","","7","13.5","6.2","","218","22","44","180","","-6.5","-6.0","-5.0","-6.5","-8.0","-5.0","NW","Moderate","M","Aubrey Schoff","","","2023-03-16 06:11:08","2023-03-16 06:11:08","","","0","166.198.21.106","270","7qqka"
"2023-03-15","05:45","Overcast","OVC","Snow","SN","Light snowfall","S1","Stellars and dendrites, Graupel, Irregular crystals","sd, gp, ir","2","37","43.0","37.5","","114","11","NC","185","0","-6.0","-5.0","-5.0","-7.0","-8.0","-7.0","SW","Light","L","Aubrey Schoff","","","2023-03-15 06:21:59","2023-03-15 06:21:59","","","0","166.198.21.106","268","8g7hm"
"2023-03-14","05:47","Overcast","OVC","Snow","SN","Heavy snowfall","S5","Stellars and dendrites, Graupel","sd, gp","1&2","16","19.0","16.5","","12","122","NC","155","0","-5.5","-5.0","-5.0","-7.0","-1.0","-7.5","","Calm","C","Aubrey Schoff","","","2023-03-14 06:15:46","2023-03-14 06:15:46","","","0","166.198.21.104","265","bkh10"
"2023-03-13","05:40","Obscured","X","","","","","","","","0","0.0","0.0","","0","0","0","143","","-4.5","-5.0","-4.5","-5.0","9.5","-12.0","SW","Moderate","M","Aubrey Schoff","","","2023-03-13 05:47:34","2023-03-13 05:47:34","","","0","166.198.21.104","261","8ki67"
"2023-03-02","05:45","Overcast","OVC","Snow","SN","Light snowfall","S1","Plates, Stellars and dendrites, Irregular crystals","pl, sd, ir","1","2","1.0","1.8","","55","5","NC","132","","-4.0","-4.0","-4.0","-4.0","-1.0","-12.5","NW","Moderate","M","Aubrey Schoff","","","2023-03-02 06:04:40","2023-03-02 06:04:40","","","0","166.198.21.143","231","x7xkf"
"2023-03-11","05:55","Broken","BKN","No precipitation","NO","","","","","","0","","","","","","0","146","2","-10.0","-8.0","-7.0","-10.0","8.0","-10.0","NE","Calm","C","Eli Hanschka","Temp max seemed very high, possibly affected by solar warming?","","2023-03-11 06:10:33","2023-03-11 06:10:33","","","0","107.77.226.38","257","cbi4f"
"2023-03-10","03:20","Clear","CLR","No precipitation","NO","","","","","","0","","","","","","0","148","4","-9.5","-8.0","-6.0","-11.0","0.5","-11.5","N","Light","L","Eli Hanschka","","","2023-03-10 03:31:01","2023-03-10 03:31:01","","","0","107.77.225.49","254","xsejm"
"2023-03-09","05:47","Overcast","OVC","No precipitation","NO","","","","","","0","","","","","","2","152","2","-7.0","-5.0","-5.0","-8.0","0.5","-8.0","N","Light","L","Eli Hanschka","","","2023-03-09 06:01:09","2023-03-09 06:01:09","","","0","107.77.225.84","251","a6dcb"
"2023-03-08","05:58","Overcast","OVC","Snow","SN","Very light snowfall","S-1","Graupel, Irregular crystals","gp, ir","1-2","2","1.5","1.7","","88","9","NC","154","1","-5.0","-6.5","-6.5","-5.0","-5.0","-9.5","NE","Moderate","M","Eli Hanschka","","","2023-03-08 06:16:52","2023-03-08 06:16:52","","","0","107.77.225.27","248","63ax0"
"2023-03-07","05:45","Broken","BKN","No precipitation","NO","","","","","","0","","","","","","3","155","5","-8.0","-7.5","-7.5","-10.0","-1.5","-10.0","N","Calm","C","Eli Hanschka","","","2023-03-07 06:00:14","2023-03-07 06:00:14","","","0","107.77.223.139","245","1egl7"
"2023-03-06","05:42","Overcast","OVC","Snow","SN","Very light snowfall","S-1","Irregular crystals","ir","1","2","2.5","1.8","","140","14","NC","160","3","-9.0","-8.0","-7.0","-10.0","-1.5","-10.0","NW","Strong","S","Eli Hanschka","","","2023-03-06 06:03:48","2023-03-06 06:03:48","","","0","107.77.225.90","242","plm9m"
"2023-03-05","05:38","Scattered","SCT","No precipitation","NO","","","","","","15","13.0","14.8","","87","9","34","163","","-9.5","-8.5","-8.0","-8.5","-4.5","-10.0","NW","Light","L","Eli Hanschka","","","2023-03-05 06:00:11","2023-03-05 06:00:11","","","0","107.77.223.130","238","2bw4a"
"2023-03-04","05:38","Overcast","OVC","Snow","SN","Moderate snowfall","S2","Stellars and dendrites, Irregular crystals","sd, ir","2-3","20","19.0","19.6","","100","10","NC","154","","-8.0","-8.0","-8.0","-8.0","0.5","-10.5","SE","Light","L","Eli Hanschka","","","2023-03-04 06:04:32","2023-03-04 06:04:32","","","0","107.77.223.130","236","auzsb"
"2023-03-03","05:43","Clear","CLR","No precipitation","NO","","","","","","17","19.0","16.6","","110","11","18","140","","-10.5","-8.5","-7.0","-11.0","-1.5","-11.0","NW","Moderate","M","Eli Hanschka","","","2023-03-03 06:11:07","2023-03-03 06:11:07","","","0","107.77.225.141","233","pwgsx"
"2023-04-02","05:45","Obscured","X","Snow","SN","Light snowfall","S1","Irregular crystals","ir","1-2","0","","","","","","0","157","8","-7.5","-2.5","-2.0","-8.0","5.0","-8.0","NW","Extreme","E","Eli Hanschka","","","2023-04-02 05:58:43","2023-04-02 05:58:43","","","0","107.77.225.196","313","smn2j"
"2023-04-11","06:00","Clear","CLR","","","","","","","","","","","","","","","130","5","-1.0","-1.0","-1.0","4.0","14.0","-6.0","N","Light","L","Jimmy","","","2023-04-11 06:23:02","2023-04-11 06:23:02","","","0","107.77.225.24","331","wi41i"
"2023-04-10","06:02","Clear","CLR","","","","","","","","","","","","","","","135","3","-5.0","-5.0","-4.0","-5.0","4.0","-5.0","","Calm","C","Jim","","","2023-04-10 06:06:43","2023-04-10 06:06:43","","","0","107.77.223.174","329","bz9yl"
"2023-04-09","05:50","Clear","CLR","No precipitation","NO","","","","","","0","","","0","","","0","138","0","-9.5","-8.0","-6.5","-7.5","-4.5","-11.0","NW","Light","L","Eli Hanschka","","","2023-04-09 06:04:16","2023-04-09 06:04:16","","","0","107.77.224.73","327","tg57j"
"2023-04-08","05:48","Clear","CLR","No precipitation","NO","","","","","","0","","","0","","","0","138","1","-11.5","-8.0","-5.0","-11.5","0.0","-11.5","W","Moderate","M","Eli Hanschka","","","2023-04-08 06:06:28","2023-04-08 06:06:28","","","0","107.77.224.73","325","seokw"
"2023-04-07","05:50","Broken","BKN","No precipitation","NO","","","","","","0","","","0","","","0","139","10","-4.0","-2.0","-1.5","-3.0","11.0","-3.0","W","Strong","S","Eli Hanschka","","","2023-04-07 06:02:03","2023-04-07 06:02:03","","","0","107.77.225.165","323","n0gtr"
"2023-04-06","05:52","Broken","BKN","No precipitation","NO","","","","","","0","","","","","","0","149","6","0.0","0.0","0.0","9.5","11.0","-3.5","W","Moderate","M","Eli Hanschka","","","2023-04-06 06:04:23","2023-04-06 06:04:23","","","0","107.77.223.12","321","j0mni"
"2023-04-05","05:50","Overcast","OVC","No precipitation","NO","","","","","","0","","","","","","0","155","0","-1.0","-1.0","-1.0","-2.5","5.0","-2.5","","Calm","C","Eli Hanschka","","","2023-04-05 06:03:20","2023-04-05 06:03:20","","","0","107.77.225.142","319","5iz6h"
"2023-04-04","05:48","Broken","BKN","No precipitation","NO","","","","","","6","4.0","5.8","","69","7","6","155","0","-2.0","-3.0","-2.5","-1.0","2.5","-2.0","W","Moderate","M","Eli Hanschka","","","2023-04-04 06:05:47","2023-04-04 06:05:47","","","0","107.77.225.7","317","9rvra"
"2023-04-03","09:45","Few","FEW","No precipitation","NO","","","","","","0","","","","","","0","155","2","-6.0","-6.5","-6.0","-1.0","-1.0","-12.0","SW","Light","L","Eli Hanschka","","","2023-04-03 09:56:34","2023-04-03 09:56:34","","","0","107.77.225.10","316","cq7n3"
"2023-03-22","05:47","Scattered","SCT","No precipitation","NO","","","","","","0","","","","","","0","164","3","-7.0","-6.5","-5.0","-4.5","0.5","-7.0","NW","Moderate","M","Eli Hanschka","","","2023-03-22 06:02:45","2023-03-22 06:02:45","","","0","107.77.224.156","284","hnpaz"
"2023-04-01","05:51","Overcast","OVC","No precipitation","NO","","","","","","6","6.5","5.8","","110","11","7","165","","-1.0","-3.5","-3.5","1.5","5.0","-10.5","SW","Moderate","M","Eli Hanschka","","","2023-04-01 06:12:49","2023-04-01 06:12:49","","","0","107.77.224.185","311","pkutf"
"2023-03-31","05:46","Few","FEW","No precipitation","NO","","","","","","T","","","","","","7","162","1","-10.5","-9.5","-8.0","-11.0","-11.0","-14.0","NW","Moderate","M","Eli Hanschka","","","2023-03-31 05:59:14","2023-03-31 05:59:14","","","0","107.77.224.151","308","t8rj1"
"2023-03-30","05:45","Obscured","X","Snow","SN","Light snowfall","S1","Stellars and dendrites, Graupel, Irregular crystals","sd, gp, ir","2-3","8","8.0","8.0","","100","10","NC","163","","-11.5","-7.0","-5.0","-12.5","5.0","-12.5","NW","Strong","S","Eli Hanschka","","","2023-03-30 06:04:59","2023-03-30 06:04:59","","","0","107.77.225.210","305","wo6f6"
"2023-03-29","06:30","Clear","CLR","","","","","","","","","","","","","","","158","","-7.0","-5.0","-2.5","-5.5","0.0","-9.5","W","Light","L","Aubrey Schoff","There were trace amounts of snow on the snow boards that were unmeasurable.","","2023-03-29 07:23:17","2023-03-29 07:23:17","","","0","166.198.21.27","304","6fj75"
"2023-03-28","06:42","Broken","BKN","Snow","SN","Very light snowfall","S-1","Stellars and dendrites, Irregular crystals","sd, ir","1","3","4.5","3.0","","150","15","12","160","","-5.0","-3.5","-2.5","-7.5","8.0","-7.5","","Calm","C","Aubrey Schoff","HN24 is a 48 hr reading with most of the precipitation falling within the typically measured 24 hr period.","","2023-03-28 07:07:16","2023-03-28 07:07:16","","","0","166.198.21.58","298","ts67u"
"2023-03-26","05:48","Overcast","OVC","Snow","SN","Light snowfall","S1","Needles, Stellars and dendrites, Irregular crystals","nd, sd, ir","1-2","10","17.0","9.7","","175","18","NC","162","","-3.5","-4.0","-4.0","-3.0","-0.5","-11.0","SW","Light","L","Eli Hanschka","","","2023-03-26 05:59:13","2023-03-26 05:59:13","","","0","107.77.225.11","294","kifx8"
"2023-03-25","05:27","Clear","CLR","No precipitation","NO","","","","","","0","","","","","","T","155","0","-11.5","-7.0","-3.5","-12.0","-3.5","-12.0","N","Light","L","Eli Hanschka","","","2023-03-25 05:41:57","2023-03-25 05:41:57","","","0","107.77.224.64","292","f743b"
"2023-03-24","05:49","Overcast","OVC","Snow","SN","Very light snowfall","S-1","Irregular crystals","ir","1","T","","","","","","NC","155","5","-5.0","-2.0","-2.0","-5.5","4.0","-5.5","W","Strong","S","Eli Hanschka","","","2023-03-24 06:05:49","2023-03-24 06:05:49","","","0","107.77.225.158","289","ldtyu"
"2023-03-23","05:47","Overcast","OVC","No precipitation","NO","","","","","","0","","","","","","0","160","4","-1.0","-2.0","-2.0","2.5","6.0","-5.0","SW","Moderate","M","Eli Hanschka","","","2023-03-23 06:04:53","2023-03-23 06:04:53","","","0","107.77.223.48","287","tdut"
"2023-04-22","05:50","Few","FEW","No precipitation","NO","","","","","","0","","","0","","","0","87","","0.0","0.0","0.0","7.0","11.0","0.0","SW","Moderate","M","Eli Hanschka","","","2023-04-22 06:02:56","2023-04-22 06:02:56","","","0","107.77.225.19","356","qcmvo"
"2023-04-30","06:34","","","Rain","RA","Light rain","RL","","","","2","10.0","2.0","","","50","2","88","","0.0","0.0","0.0","-1.0","7.0","-1.0","","Calm","C","Jim","","","2023-04-30 06:40:18","2023-04-30 06:40:18","","","0","166.194.188.5","373","d74v7"
"2023-04-30","06:24","Overcast","OVC","Rain","RA","Light rain","RL","","","","2","","2.0","","","","","","","","","","","","","","","","","","","2023-04-30 06:34:45","2023-04-30 06:34:45","","","0","166.194.188.5","372","ea0ty"
"2023-04-29","06:07","Few","FEW","","","","","","","","0","","","0","","","0","88","7","0.0","0.0","0.0","2.5","16.0","-1.0","SE","Light","L","Eli Hanschka","","","2023-04-29 06:12:11","2023-04-29 06:12:11","","","0","107.77.223.42","370","ubtys"
"2023-04-28","06:00","Clear","CLR","No precipitation","NO","","","","","","","","","","","","","95","5","-2.0","-1.0","-1.0","-1.0","8.0","-4.0","","Calm","C","Jim","","","2023-04-28 06:59:32","2023-04-28 06:59:32","","","0","107.115.17.124","368","nr5mo"
"2023-04-27","06:00","Overcast","OVC","Snow","SN","Very light snowfall","S-1","Irregular crystals","ir","1","2","2.0","2.0","","100","10","NC","100","","-1.0","-1.0","-1.0","1.0","11.0","-4.0","","Calm","C","Jim","Yesterdays can melt: 19mm","","2023-04-27 06:32:33","2023-04-27 06:32:33","","","0","107.122.189.123","366","vpe20"
"2023-04-26","06:00","Clear","CLR","No precipitation","NO","","","","","","6","11.0","6.0","","183","18","19","100","","-4.0","-1.0","-1.0","-1.0","5.0","-4.0","","Calm","C","Jim","Yesterdays can melt: 19mm","","2023-04-26 07:01:54","2023-04-26 07:01:54","","","0","107.115.17.111","364","usu04"
"2023-04-25","06:00","Overcast","OVC","Snow","SN","Very light snowfall","S-1","Colums, Needles","cl, nd","1","8","10.0","8.0","","125","13","NC","95","","-1.0","-1.0","-1.0","0.0","1.0","-1.0","","Calm","C","Jim","Yesterdays can melt: 40mm","","2023-04-25 06:36:31","2023-04-25 06:36:31","","","0","107.122.189.131","362","76evv"
"2023-04-24","06:10","Obscured","X","Rain","RA","Very light rain","RV","","","","8","21.0","8.0","","262","26","NC","90","","-1.0","-1.0","-1.0","0.0","0.0","-2.0","","Calm","C","Jim","","","2023-04-24 06:20:00","2023-04-24 06:20:00","","","0","107.122.189.131","360","bj0vo"
"2023-04-23","06:00","Overcast","OVC","No precipitation","NO","","","","","","","","","","","","","80","","-1.0","-1.0","-1.0","0.0","12.0","0.0","SE","Light","L","Jim","","","2023-04-23 06:17:22","2023-04-23 06:17:22","","","0","107.122.189.4","358","3ntqz"
"2023-04-12","06:00","Few","FEW","","","","","","","","","","","","","","","125","5","-1.0","-1.0","-1.0","1.0","14.0","0.0","W","Light","L","Jim","","","2023-04-12 06:22:19","2023-04-12 06:22:19","","","0","107.77.225.126","333","i79u"
"2023-04-21","05:48","Broken","BKN","No precipitation","NO","","","","","","0","","","0","","","0","85","2","-0.5","-2.0","-2.0","3.0","5.5","-8.5","NW","Moderate","M","Eli Hanschka","","","2023-04-21 06:00:45","2023-04-21 06:00:45","","","0","107.77.224.14","354","t6s3r"
"2023-04-20","06:25","Broken","BKN","No precipitation","NO","","","","","","1","2.0","0.8","","250","25","1","87","0","-7.0","-4.0","-3.0","-8.0","-1.0","-8.0","W","Strong","S","Eli Hanschka","","","2023-04-20 06:42:07","2023-04-20 06:42:07","","","0","107.77.225.54","352","fp53w"
"2023-04-19","05:50","Broken","BKN","No precipitation","NO","","","","","","2","2.5","1.8","","140","14","2","87","","-4.0","-1.5","-1.5","-5.5","2.0","-5.5","W","Moderate","M","Eli Hanschka","","","2023-04-19 06:07:22","2023-04-19 06:07:22","","","0","107.77.225.151","350","d9pwh"
"2023-04-18","05:50","Overcast","OVC","No precipitation","NO","","","","","","0","","","12.5","","","0","86","9","-0.5","-0.5","0.0","1.0","8.0","0.0","N","Light","L","Eli Hanschka","","","2023-04-18 06:16:14","2023-04-18 06:16:14","","","0","107.77.224.57","348","52unz"
"2023-04-17","06:02","Overcast","OVC","Rain","RA","Very light rain","RV","","","","0","","","","","","0","95","8","0.0","0.0","0.0","7.0","20.0","3.0","SE","Light","L","Eli Hanschka","","","2023-04-17 06:08:25","2023-04-17 06:08:25","","","0","107.77.226.82","346","8r0o3"
"2023-04-16","05:10","Scattered","SCT","No precipitation","NO","","","","","","0","","","","","","0","103","2","0.0","-0.5","-1.0","10.0","17.0","3.0","N","Light","L","Eli Hanschka","","","2023-04-16 05:18:09","2023-04-16 05:18:09","","","0","107.77.224.32","343","806u1"
"2023-04-15","06:30","Clear","CLR","No precipitation","NO","","","","","","","","","","","","","105","5","1.0","-1.0","-1.0","9.0","22.0","6.0","S","Light","L","Jim","","","2023-04-15 06:44:08","2023-04-15 06:44:08","","","0","107.77.224.21","340","o63cm"
"2023-04-14","05:50","Few","FEW","","","","","","","","","","","","","","","110","10","1.0","-1.0","-1.0","10.0","21.0","5.0","NW","Light","L","Jim","","","2023-04-14 06:22:07","2023-04-14 06:22:07","","","0","107.77.223.172","338","egk4g"
"2023-04-13","05:59","Few","FEW","","","","","","","","","","","","","","","120","5","1.0","0.0","0.0","10.0","10.0","-2.0","NW","Calm","C","Jim","","","2023-04-13 06:05:07","2023-04-13 06:05:07","","","0","107.77.223.84","336","e3kdq"
"2023-05-14","06:49","Clear","CLR","No precipitation","NO","","","","","","0","","","0","","","0","53","7","0.0","0.0","0.0","1.0","11.0","-0.5","NW","Light","L","Eli Hanschka","","","2023-05-14 06:55:03","2023-05-14 06:55:03","","","0","107.77.226.185","389","fgaba"
"2023-12-02","05:36","Overcast","OVC","No precipitation","NO","","","","","","T","","","6.0","","","","40","","0.0","0.0","-0.5","0.0","","","SW","Calm","C","Eli Hanschka","","","2023-12-02 06:05:45","2023-12-02 06:05:45","","","0","107.77.226.168","405","yzqvi"
"2023-05-22","07:00","Clear","CLR","No precipitation","NO","","","","","","","","","","","","","10","5","","","","4.0","13.0","0.0","","Calm","C","Jim","","","2023-05-22 07:27:12","2023-05-22 07:27:12","","","0","166.194.188.21","397","ruf37"
"2023-05-21","07:00","Obscured","X","","","","","","","","","","","","","","","15","5","","","","7.0","13.0","5.0","W","Light","L","Jim","","","2023-05-21 07:23:55","2023-05-21 07:23:55","","","0","166.194.188.139","396","9w1dm"
"2023-05-20","07:31","Broken","BKN","No precipitation","NO","","","","","","0","","","0","","","0","20","10","0.5","0.0","0.0","5.0","7.0","16.0","S","Calm","C","Eli Hanschka","","","2023-05-20 07:38:01","2023-05-20 07:38:01","","","0","107.77.226.203","395","d5n8q"
"2023-05-19","07:29","Clear","CLR","No precipitation","NO","","","","","","0","","","0","","","0","30","4","0.0","0.0","0.0","8.5","8.5","-4.0","SW","Light","L","Eli Hanschka","","","2023-05-19 07:42:39","2023-05-19 07:42:39","","","0","107.77.224.151","394","kq0mk"
"2023-05-18","06:47","Clear","CLR","No precipitation","NO","","","","","","T","","","","","","1","34","0","-4.5","-2.0","0.0","-4.0","-0.5","-5.0","W","Strong","S","Eli Hanschka","","","2023-05-18 07:04:42","2023-05-18 07:04:42","","","0","107.77.224.151","393","oovav"
"2023-05-17","06:54","Broken","BKN","Snow","SN","Very light snowfall","S-1","Stellars and dendrites, Irregular crystals","sd, ir","1-3","1","1.0","0.9","","110","11","NC","34","6","-2.5","0.0","0.0","-3.5","11.0","-3.5","NW","Light","L","Eli Hanschka","","","2023-05-17 07:00:45","2023-05-17 07:00:45","","","0","107.77.224.151","392","cxzuh"
"2023-05-16","06:52","Scattered","SCT","No precipitation","NO","","","","","","0","","","0","","","0","40","8","1.5","0.0","0.0","6.0","11.0","5.5","W","Moderate","M","Eli Hanschka","","","2023-05-16 07:04:40","2023-05-16 07:04:40","","","0","107.77.224.151","391","zjltm"
"2023-05-15","06:45","Scattered","SCT","No precipitation","NO","","","","","","0","","","0","","","0","48","5","0.0","0.0","0.0","6.5","6.5","0.5","NW","Light","L","Eli Hanschka","","","2023-05-15 06:55:27","2023-05-15 06:55:27","","","0","107.77.224.151","390","jzv88"
"2023-05-03","05:52","Overcast","OVC","Snow","SN","Light snowfall","S1","Needles","nd","2-3","8","27.0","8.0","","","34","NC","94","","0.0","0.0","0.0","-0.5","5.5","-0.5","","Calm","C","Eli Hanschka","Density (kg/m3): 340","","2023-05-03 06:13:11","2023-05-03 06:13:11","","","0","107.77.223.189","377","itann"
"2023-05-13","06:25","Clear","CLR","No precipitation","NO","","","","","","","","","","","","","60","5","1.0","0.0","0.0","5.0","15.0","4.0","NW","Light","L","Jim","","","2023-05-13 06:56:55","2023-05-13 06:56:55","","","0","166.194.188.120","388","q5jka"
"2023-05-12","06:58","Overcast","OVC","Rain","RA","Very light rain","RV","","","","","","","T","","","","65","","1.0","0.0","0.0","7.0","11.0","5.0","W","Light","L","Jim","","","2023-05-12 07:20:40","2023-05-12 07:20:40","","","0","166.194.188.114","387","no531"
"2023-05-10","06:30","Clear","CLR","No precipitation","NO","","","","","","","","","","","","","72","","1.0","0.0","0.0","6.0","12.0","2.0","N","Light","L","Jim","","","2023-05-11 06:58:48","2023-05-11 06:58:48","","","0","166.194.188.81","386","9bclu"
"2023-05-10","05:01","Clear","CLR","No precipitation","NO","","","","","","","","","","","","","73","7","-1.0","-1.0","-1.0","2.0","10.0","2.0","N","Light","L","Jim","","","2023-05-10 05:06:04","2023-05-10 05:06:04","","","0","166.194.188.82","385","r6keh"
"2023-05-09","07:00","Clear","CLR","No precipitation","NO","","","","","","","","","","","","","80","","0.0","0.0","0.0","0.0","10.0","-1.0","","Calm","C","Jimmy","","","2023-05-09 07:53:38","2023-05-09 07:53:38","","","0","166.194.188.82","384","eofs2"
"2023-05-08","06:43","Clear","CLR","No precipitation","NO","","","","","","0","","","0","","","0","86","","0.0","0.0","0.0","4.5","16.0","3.0","N","Light","L","Eli Hanschka","","","2023-05-08 06:47:07","2023-05-08 06:47:07","","","0","107.77.223.127","383","xs69u"
"2023-05-07","06:00","Clear","CLR","No precipitation","NO","","","","","","","","","","","","","85","","1.0","0.0","0.0","5.0","10.0","5.0","","Calm","C","Jim","","","2023-05-07 06:38:25","2023-05-07 06:38:25","","","0","166.194.188.20","382","cyfbj"
"2023-05-05","06:12","Overcast","OVC","Snow","SN","Very light snowfall","S-1","Plates, Irregular crystals","pl, ir","1-2","0","","","","","","16","104","5","0.0","0.0","0.0","0.0","0.5","-1.5","","Calm","C","Eli Hanschka","HST was more accurately measure yesterday on the Hojos porch @ 24cm.","","2023-05-05 06:27:46","2023-05-05 06:27:46","","","0","107.77.223.189","381","z78if"
"2023-05-04","05:51","Overcast","OVC","Snow","SN","Very light snowfall","S-1","Needles, Stellars and dendrites","nd, sd","1-3","7","12.0","7.0","","170","17","NC","108","","-0.5","0.0","0.0","-1.5","0.0","-1.5","","Calm","C","Eli Hanschka","","","2023-05-04 06:09:14","2023-05-04 06:09:14","","","0","107.77.223.189","379","42o90"
"2023-12-13","05:39","Overcast","OVC","No precipitation","NO","","","","","","1","1.0","1.6","","62","6","1","43","","-5.0","-4.0","-3.0","-7.0","-5.0","-11.0","W","Strong","S","Cooper Smith","","","2023-12-13 05:58:16","2023-12-13 05:58:16","","","0","174.196.193.17","423","ra9ll"
"2023-12-14","05:35","Clear","CLR","No precipitation","NO","","","","","","0","","","0","","","","0","","","","","-4.5","13.0","-4.5","NW","Light","L","Cooper Smith","","","2023-12-22 06:04:38","2023-12-22 06:04:38","","","0","174.196.198.144","436","bsmtq"
"2023-12-21","05:35","Clear","CLR","No precipitation","NO","","","","","","0","","","0","","","0","0","","","","","-11.5","0.0","-11.5","NW","Light","L","Eli Hanschka","","","2023-12-21 05:46:32","2023-12-21 05:46:32","","","0","107.77.226.171","435","j47ei"
"2023-12-20","05:52","Clear","CLR","No precipitation","NO","","","","","","T","","","T","","","0","0","","","","","-4.0","-1.0","-9.0","N","Moderate","M","Eli Hanschka","","","2023-12-20 06:01:36","2023-12-20 06:01:36","","","0","107.77.224.229","434","2if3y"
"2023-12-19","06:22","Broken","BKN","No precipitation","NO","","","","","","0","","","154.0","","","0","0","37","","","","-3.0","8.0","-3.0","W","Light","L","Eli Hanschka","Snowplot was flooded so that any snow that could have remained on the ground after the rain even was washed away. Patchy shallow snow on the ground in non-flooded areas.","","2023-12-19 07:28:51","2023-12-19 07:28:51","","","0","107.77.223.139","433","vvr7t"
"2023-12-18","06:25","Obscured","X","Rain","RA","Moderate Rain","RM","","","","0","","","55.0","","","0","37","8","0.5","0.0","0.0","5.5","5.5","0.5","S","Strong","S","Eli Hanschka","","","2023-12-18 06:51:59","2023-12-18 06:51:59","","","0","107.77.223.139","431","txadc"
"2023-12-17","05:40","Broken","BKN","No precipitation","NO","","","","","","0","","","0","","","0","45","0","-2.5","-2.5","-2.0","0.5","4.0","-4.0","S","Strong","S","Eli Hanschka","","","2023-12-17 05:52:51","2023-12-17 05:52:51","","","0","107.77.224.65","430","dg81o"
"2023-12-16","05:41","Clear","CLR","No precipitation","NO","","","","","","0","","","0","","","0","45","2","-3.5","-2.0","-1.5","-3.5","4.0","-3.5","NW","Strong","S","Eli Hanschka","","","2023-12-16 05:54:23","2023-12-16 05:54:23","","","0","107.77.224.227","429","bmst2"
"2023-12-15","05:28","Clear","CLR","No precipitation","NO","","","","","","0","","","0","","","0","47","2","-0.5","-2.0","-2.0","0.0","0.0","-15.0","W","Strong","S","Eli Hanschka","","","2023-12-15 05:43:53","2023-12-15 05:43:53","","","0","107.77.226.171","427","mxpda"
"2023-12-14","05:47","Clear","CLR","No precipitation","NO","","","Needles, Irregular crystals","nd, ir","1","7","6.0","7.2","","83","8","7","49","","-11.0","-7.0","-5.0","-15.0","-6.0","-15.0","W","Strong","S","Cooper Smith","","","2023-12-14 05:59:29","2023-12-14 05:59:29","","","0","174.242.67.241","425","m5lib"
"2023-12-03","05:35","Obscured","X","No precipitation","NO","","","","","","0","","","0.0","","","0","38","2","0.0","0.0","0.0","-2.0","1.5","-2.0","","Calm","C","Eli Hanschka","","","2023-12-03 05:50:31","2023-12-03 05:50:31","","","0","107.77.226.168","406","987qf"
